"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","74","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","52","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","44","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","871","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","35","1","0.000000","0","0"
"/Engine/EditorMaterials/WidgetMaterial_Z.WidgetMaterial_Z","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/M_RenderCustomHeightmap_01.M_RenderCustomHeightmap_01","0","0","2","1","0.000000","0","0"
"/Game/Assets/ItemThumbnails/bread_Mat.bread_Mat","0","0","12","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MRock_5.MRock_5","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MRock_4.MRock_4","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MRock_3.MRock_3","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MRock_2.MRock_2","0","0","30","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MRock_1.MRock_1","0","0","30","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MLeaf_8.MLeaf_8","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MLeaf_7.MLeaf_7","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MLeaf_5.MLeaf_5","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MLeaf_4.MLeaf_4","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MLeaf_3.MLeaf_3","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MLeaf_2.MLeaf_2","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MLeaf_1.MLeaf_1","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MGrass_7.MGrass_7","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MGrass_6.MGrass_6","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MGrass_5.MGrass_5","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MGrass_4.MGrass_4","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MGrass_3.MGrass_3","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MGrass_2.MGrass_2","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MGrass_1.MGrass_1","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MBackground_TEMP.MBackground_TEMP","0","0","28","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MTileSand.MTileSand","0","0","27","1","0.000000","0","0"
"/Game/Blueprints/2D_Assets/MElderAnt.MElderAnt","0","0","28","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/EngineVolumetrics/LightBeam/Materials/M_EV_Lightbeam_Master_01.M_EV_Lightbeam_Master_01","0","0","10","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Engine/MapTemplates/Materials/BasicAsset03.BasicAsset03","0","0","21","1","0.000000","0","0"
"/Engine/BufferVisualization/BaseColor.BaseColor","0","0","4","1","0.000000","0","0"
"/Engine/MapTemplates/Materials/BasicAsset01.BasicAsset01","0","0","33","1","0.000000","0","0"
